2021/07/03 21:00:02 [warn] 7#7: *86 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.20.0.1, server: localhost, request: "GET /api/getInfo/Con-0001 HTTP/1.1", upstream: "fastcgi://172.20.0.2:9000", host: "localhost"
2021/07/04 21:03:33 [warn] 6#6: *189 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.20.0.1, server: localhost, request: "POST /api/AddNewContract HTTP/1.1", host: "localhost", referrer: "http://localhost/uploadfile"
2021/07/05 17:01:51 [warn] 6#6: *133 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.20.0.1, server: localhost, request: "POST /api/AddNewSW HTTP/1.1", host: "localhost", referrer: "http://localhost/uploadSW"
2021/07/05 21:45:35 [warn] 6#6: *31 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.20.0.1, server: localhost, request: "POST /api/AddNewContrac HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/06 09:42:02 [warn] 6#6: *9 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.20.0.1, server: localhost, request: "POST /api/AddNewContrac HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/06 10:22:19 [warn] 6#6: *44 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.20.0.1, server: localhost, request: "POST /api/AddNewContrac HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/13 11:48:36 [warn] 6#6: *39 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /api/rewriteFile/Con-0001 HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/13 11:58:40 [warn] 6#6: *55 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "POST /api/rewriteFile/Con-0001 HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/15 18:11:30 [warn] 6#6: *101 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.20.0.1, server: localhost, request: "PUT /api/rewriteFile/Con-0001 HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/21 16:48:18 [warn] 7#7: *58 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "PUT /api/rewriteFile/Con-0001 HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
2021/07/23 16:15:36 [warn] 6#6: *295 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /api/AddNewContract HTTP/1.1", host: "localhost", referrer: "http://localhost/uploadfile"
2021/07/23 16:20:41 [warn] 6#6: *316 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000002, client: 172.18.0.1, server: localhost, request: "PUT /api/rewriteFile/Con-0001 HTTP/1.1", host: "localhost", referrer: "http://localhost/rewritefile/Con-0001"
